,rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x.1,y.1,z.1,w
209,1663806890853849162,,341,,1624528895,84156990,'',,,-9.7,-6.33,-0.67,,0.0,0.0,0.0,1.0
210,1663806890953696477,,342,,1624528895,184137105,'',,,-8.44,-8.01,-0.71,,0.0,0.0,0.0,1.0
211,1663806891053790366,,343,,1624528895,284100055,'',,,-7.46,-9.29,-0.61,,0.0,0.0,0.0,1.0
212,1663806891154196034,,344,,1624528895,384484052,'',,,-6.7,-10.26,-0.45,,0.0,0.0,0.0,1.0
213,1663806891356260245,,345,,1624528895,584513902,'',,,-6.12,-10.92,-0.47,,0.0,0.0,0.0,1.0
214,1663806894359763487,,346,,1624528898,590189933,'',,,-5.36,-11.0,-0.01,,0.0,0.0,0.0,1.0
215,1663806894459896815,,347,,1624528898,690294027,'',,,-4.85,-11.02,0.07,,0.0,0.0,0.0,1.0
216,1663806894762194119,,348,,1624528898,990109920,'',,,-4.49,-10.93,-0.15,,0.0,0.0,0.0,1.0
217,1663806894860135624,,349,,1624528899,90459108,'',,,-4.1,-10.93,0.0,,0.0,0.0,0.0,1.0
218,1663806894969798212,,350,,1624528899,196413993,'',,,-3.98,-10.77,-0.31,,0.0,0.0,0.0,1.0
219,1663806895162931821,,351,,1624528899,390669107,'',,,-3.7,-10.78,0.09,,0.0,0.0,0.0,1.0
220,1663806895965989400,,352,,1624528900,196427106,'',,,-3.41,-10.67,0.5,,0.0,0.0,0.0,1.0
221,1663806896066354711,,353,,1624528900,296269893,'',,,-3.18,-10.57,0.81,,0.0,0.0,0.0,1.0
222,1663806896167464782,,354,,1624528900,396373987,'',,,-3.13,-10.41,0.6,,0.0,0.0,0.0,1.0
223,1663806896271849630,,355,,1624528900,502245903,'',,,-3.14,-10.21,0.25,,0.0,0.0,0.0,1.0
224,1663806896372137095,,356,,1624528900,602495908,'',,,-3.1,-10.06,-0.04,,0.0,0.0,0.0,1.0
225,1663806896472109545,,357,,1624528900,702445983,'',,,-3.08,-9.91,-0.29,,0.0,0.0,0.0,1.0
226,1663806896766147748,,358,,1624528900,996522903,'',,,-2.99,-9.84,-0.17,,0.0,0.0,0.0,1.0
227,1663806896978633972,,359,,1624528901,207279920,'',,,-2.96,-9.66,-0.38,,0.0,0.0,0.0,1.0
228,1663806897883879379,,360,,1624528902,112246990,'',,,-2.72,-9.47,-0.33,,0.0,0.0,0.0,1.0
229,1663806897980380581,,361,,1624528902,208862066,'',,,-2.54,-9.36,0.06,,0.0,0.0,0.0,1.0
230,1663806898271672073,,362,,1624528902,501956939,'',,,-2.43,-9.21,0.23,,0.0,0.0,0.0,1.0
231,1663806898482575193,,363,,1624528902,712963104,'',,,-2.22,-9.06,0.22,,0.0,0.0,0.0,1.0
232,1663806898573241390,,364,,1624528902,802228927,'',,,-2.17,-8.94,0.35,,0.0,0.0,0.0,1.0
233,1663806898771444498,,365,,1624528903,1930952,'',,,-1.97,-8.82,0.29,,0.0,0.0,0.0,1.0
234,1663806898884464373,,366,,1624528903,112864971,'',,,-1.8,-8.76,0.84,,0.0,0.0,0.0,1.0
235,1663806898971485634,,367,,1624528903,201776027,'',,,-1.68,-8.68,0.85,,0.0,0.0,0.0,1.0
